accountid,year,commulative_bill,reading_jan,usage_jan,bill_jan,penalty_jan,totalbill_jan,reading_feb,usage_feb,bill_feb,penalty_feb,totalbill_feb,reading_mar,usage_mar,bill_mar,penalty_mar,totalbill_mar,reading_apr,usage_apr,bill_apr,penalty_apr,totalbill_apr,reading_may,usage_may,bill_may,penalty_may,totalbill_may,reading_jun,usage_jun,bill_jun,penalty_jun,totalbill_jun,reading_jul,usage_jul,bill_jul,penalty_jul,totalbill_jul,reading_aug,usage_aug,bill_aug,penalty_aug,totalbill_aug,reading_sept,usage_sept,bill_sept,penalty_sept,totalbill_sept,reading_oct,usage_oct,bill_oct,penalty_oct,totalbill_oct,reading_nov,usage_nov,bill_nov,penalty_nov,totalbill_nov,reading_dec,usage_dec,bill_dec,penalty_dec,totalbill_dec
0000000011-01-2021,2021,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000012-01-2021,2021,0.0,2492.0,14.0,25.0,0.0,25.0,2508.0,16.0,25.0,0.0,25.0,2528.0,20.0,25.0,0.0,25.0,2548.0,20.0,25.0,0.0,25.0,2568.0,20.0,25.0,0.0,25.0,2569.0,1.0,25.0,0.0,25.0,2778.0,209.0,592.0,0.0,592.0,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000013-01-2021,2021,0.0,1303.0,40.0,85.0,0.0,85.0,1565.0,262.0,751.0,0.0,751.0,1594.0,29.0,52.0,0.0,52.0,1615.0,21.0,28.0,0.0,28.0,1644.0,29.0,52.0,0.0,52.0,1672.0,28.0,49.0,0.0,49.0,1703.0,31.0,58.0,0.0,58.0,1731.0,28.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000014-01-2021,2021,25.0,2902.0,9.0,25.0,0.0,25.0,2910.0,8.0,25.0,0.0,25.0,2924.0,14.0,25.0,0.0,25.0,2936.0,12.0,25.0,0.0,25.0,2945.0,9.0,25.0,0.0,25.0,2956.0,11.0,25.0,0.0,25.0,2968.0,12.0,25.0,0.0,25.0,2976.0,8.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000015-01-2021,2021,273.0,6703.0,31.0,58.0,0.0,58.0,6732.0,29.0,52.0,0.0,52.0,6764.0,32.0,61.0,0.0,61.0,6784.0,20.0,25.0,0.0,25.0,6808.0,24.0,37.0,0.0,37.0,6836.0,28.0,49.0,0.0,49.0,6873.0,37.0,76.0,0.0,76.0,6883.0,10.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000016-01-2021,2021,447.0,9724.0,81.0,208.0,0.0,208.0,9759.0,35.0,70.0,0.0,70.0,9799.0,40.0,85.0,0.0,85.0,9899.0,100.0,265.0,0.0,265.0,9959.0,60.0,145.0,0.0,145.0,10027.0,68.0,169.0,0.0,169.0,10101.0,74.0,187.0,0.0,187.0,10143.0,42.0,91.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000017-01-2021,2021,25.0,1024.0,7.0,25.0,0.0,25.0,1030.0,6.0,25.0,0.0,25.0,1045.0,15.0,25.0,0.0,25.0,1052.0,7.0,25.0,0.0,25.0,1063.0,11.0,25.0,0.0,25.0,1073.0,10.0,25.0,0.0,25.0,1086.0,13.0,25.0,0.0,25.0,1099.0,13.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000018-01-2021,2021,565.0,4760.0,3.0,25.0,0.0,25.0,4760.0,0.0,0.0,0.0,0.0,4760.0,0.0,0.0,0.0,0.0,4760.0,0.0,0.0,0.0,0.0,4760.0,0.0,0.0,0.0,0.0,4760.0,0.0,0.0,0.0,0.0,4767.0,7.0,25.0,0.0,25.0,4967.0,200.0,565.0,0.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000019-01-2021,2021,25.0,1642.0,38.0,79.0,0.0,79.0,1645.0,3.0,25.0,0.0,25.0,1667.0,22.0,31.0,0.0,31.0,1668.0,1.0,25.0,0.0,25.0,1679.0,11.0,25.0,0.0,25.0,1684.0,5.0,25.0,0.0,25.0,1699.0,15.0,25.0,0.0,25.0,1706.0,7.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000020-01-2021,2021,50.0,3905.0,13.0,25.0,0.0,25.0,3913.0,8.0,25.0,0.0,25.0,3924.0,11.0,25.0,0.0,25.0,3946.0,22.0,31.0,0.0,31.0,3959.0,13.0,25.0,0.0,25.0,3973.0,14.0,25.0,0.0,25.0,3989.0,16.0,25.0,0.0,25.0,3996.0,7.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000021-01-2021,2021,94.0,178.0,59.0,142.0,0.0,142.0,199.0,21.0,28.0,0.0,28.0,213.0,14.0,25.0,0.0,25.0,213.0,0.0,0.0,0.0,0.0,214.0,1.0,25.0,0.0,25.0,233.0,19.0,25.0,0.0,25.0,285.0,52.0,121.0,0.0,121.0,328.0,43.0,94.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000022-01-2021,2021,784.0,702.0,0.0,0.0,0.0,0.0,7586.0,6884.0,20617.0,0.0,20617.0,7679.0,93.0,244.0,0.0,244.0,7761.0,82.0,211.0,0.0,211.0,7761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7761.0,0.0,0.0,0.0,0.0,8034.0,273.0,784.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000023-01-2021,2021,0.0,1188.0,27.0,46.0,0.0,46.0,1212.0,24.0,37.0,0.0,37.0,1240.0,28.0,49.0,0.0,49.0,1265.0,25.0,40.0,0.0,40.0,1294.0,29.0,52.0,0.0,52.0,1326.0,32.0,61.0,0.0,61.0,1362.0,36.0,73.0,0.0,73.0,1394.0,32.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000024-01-2021,2021,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000025-01-2021,2021,406.0,4194.0,42.0,91.0,0.0,91.0,4232.0,38.0,79.0,0.0,79.0,4268.0,36.0,73.0,0.0,73.0,4306.0,38.0,79.0,0.0,79.0,4354.0,48.0,109.0,0.0,109.0,4404.0,50.0,115.0,0.0,115.0,4451.0,47.0,106.0,0.0,106.0,4488.0,37.0,76.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000026-01-2021,2021,82.0,15059.0,75.0,190.0,0.0,190.0,15104.0,45.0,100.0,0.0,100.0,15155.0,51.0,118.0,0.0,118.0,15247.0,92.0,241.0,0.0,241.0,15307.0,60.0,145.0,0.0,145.0,15374.0,67.0,166.0,0.0,166.0,15451.0,77.0,196.0,0.0,196.0,15490.0,39.0,82.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000027-01-2021,2021,151.0,21187.0,0.0,0.0,0.0,0.0,21197.0,10.0,25.0,0.0,25.0,21197.0,0.0,0.0,0.0,0.0,21197.0,0.0,0.0,0.0,0.0,21197.0,0.0,0.0,0.0,0.0,21867.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,90.0,62.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000028-01-2021,2021,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,7910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000029-01-2021,2021,40.0,7191.0,23.0,34.0,0.0,34.0,7212.0,21.0,28.0,0.0,28.0,7237.0,25.0,40.0,0.0,40.0,7258.0,21.0,28.0,0.0,28.0,7282.0,24.0,37.0,0.0,37.0,7307.0,25.0,40.0,0.0,40.0,7329.0,22.0,31.0,0.0,31.0,7354.0,25.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000030-01-2021,2021,25.0,4287.0,18.0,25.0,0.0,25.0,4300.0,13.0,25.0,0.0,25.0,4317.0,17.0,25.0,0.0,25.0,4332.0,15.0,25.0,0.0,25.0,4353.0,21.0,28.0,0.0,28.0,4360.0,7.0,25.0,0.0,25.0,4375.0,15.0,25.0,0.0,25.0,4385.0,10.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000031-01-2021,2021,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000032-01-2021,2021,138.0,703.0,20.0,25.0,0.0,25.0,745.0,42.0,91.0,0.0,91.0,785.0,40.0,85.0,0.0,85.0,810.0,25.0,40.0,0.0,40.0,828.0,18.0,25.0,0.0,25.0,854.0,26.0,43.0,0.0,43.0,889.0,35.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000033-01-2021,2021,202.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,245.0,53.0,124.0,0.0,124.0,266.0,21.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000034-01-2021,2021,25.0,9724.0,5.0,25.0,0.0,25.0,9725.0,1.0,25.0,0.0,25.0,9742.0,17.0,25.0,0.0,25.0,9763.0,21.0,28.0,0.0,28.0,9766.0,3.0,25.0,0.0,25.0,9768.0,2.0,25.0,0.0,25.0,9768.0,0.0,0.0,0.0,0.0,9765.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000035-01-2021,2021,216.0,8179.0,13.0,25.0,0.0,25.0,8191.0,12.0,25.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,36.0,17.0,25.0,0.0,25.0,61.0,25.0,40.0,0.0,40.0,76.0,15.0,25.0,0.0,25.0,105.0,29.0,52.0,0.0,52.0,133.0,28.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000036-01-2021,2021,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000037-01-2021,2021,109.0,632.0,21.0,28.0,0.0,28.0,649.0,17.0,25.0,0.0,25.0,669.0,20.0,25.0,0.0,25.0,690.0,21.0,28.0,0.0,28.0,712.0,22.0,31.0,0.0,31.0,733.0,21.0,28.0,0.0,28.0,751.0,18.0,25.0,0.0,25.0,771.0,20.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000038-01-2021,2021,80.0,2855.0,12.0,25.0,0.0,25.0,2864.0,9.0,25.0,0.0,25.0,2875.0,11.0,25.0,0.0,25.0,2892.0,17.0,25.0,0.0,25.0,2900.0,8.0,25.0,0.0,25.0,2924.0,24.0,37.0,0.0,37.0,2954.0,30.0,55.0,0.0,55.0,2961.0,7.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000039-01-2021,2021,677.0,312.0,60.0,145.0,0.0,145.0,360.0,48.0,109.0,0.0,109.0,405.0,45.0,100.0,0.0,100.0,459.0,54.0,127.0,0.0,127.0,542.0,83.0,214.0,0.0,214.0,589.0,47.0,106.0,0.0,106.0,650.0,61.0,148.0,0.0,148.0,689.0,39.0,82.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000040-01-2021,2021,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,4310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000041-01-2021,2021,0.0,4027.0,8.0,25.0,0.0,25.0,4036.0,9.0,25.0,0.0,25.0,4046.0,10.0,25.0,0.0,25.0,4055.0,9.0,25.0,0.0,25.0,4075.0,20.0,25.0,0.0,25.0,4083.0,8.0,25.0,0.0,25.0,4091.0,8.0,25.0,0.0,25.0,4096.0,5.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000042-01-2021,2021,82.0,4396.0,32.0,61.0,0.0,61.0,4430.0,34.0,67.0,0.0,67.0,4476.0,46.0,103.0,0.0,103.0,4534.0,58.0,139.0,0.0,139.0,4534.0,0.0,0.0,0.0,0.0,4633.0,0.0,0.0,0.0,0.0,4672.0,39.0,82.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000043-01-2021,2021,130.0,6865.0,14.0,25.0,0.0,25.0,6879.0,14.0,25.0,0.0,25.0,6894.0,15.0,25.0,0.0,25.0,6918.0,24.0,37.0,0.0,37.0,6944.0,26.0,43.0,0.0,43.0,6952.0,8.0,25.0,0.0,25.0,6970.0,18.0,25.0,0.0,25.0,6994.0,24.0,37.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000044-01-2021,2021,75.0,4335.0,2.0,25.0,0.0,25.0,4339.0,4.0,25.0,0.0,25.0,4344.0,5.0,25.0,0.0,25.0,4378.0,34.0,67.0,0.0,67.0,4413.0,35.0,70.0,0.0,70.0,4416.0,3.0,25.0,0.0,25.0,4431.0,15.0,25.0,0.0,25.0,4445.0,14.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000045-01-2021,2021,227.0,9673.0,32.0,61.0,0.0,61.0,9702.0,29.0,52.0,0.0,52.0,9734.0,32.0,61.0,0.0,61.0,9771.0,37.0,76.0,0.0,76.0,9794.0,23.0,34.0,0.0,34.0,9822.0,28.0,49.0,0.0,49.0,9860.0,38.0,79.0,0.0,79.0,9921.0,61.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000046-01-2021,2021,416.0,10977.0,50.0,115.0,0.0,115.0,11028.0,51.0,118.0,0.0,118.0,11086.0,58.0,139.0,0.0,139.0,11158.0,72.0,181.0,0.0,181.0,11226.0,68.0,169.0,0.0,169.0,11278.0,52.0,121.0,0.0,121.0,11380.0,102.0,271.0,0.0,271.0,11440.0,60.0,145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000047-01-2021,2021,59.0,3694.0,7.0,25.0,0.0,25.0,3701.0,7.0,25.0,0.0,25.0,3710.0,9.0,25.0,0.0,25.0,3725.0,15.0,25.0,0.0,25.0,3746.0,21.0,28.0,0.0,28.0,3758.0,12.0,25.0,0.0,25.0,3781.0,23.0,34.0,0.0,34.0,3792.0,11.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000048-01-2021,2021,0.0,2287.0,99.0,262.0,0.0,262.0,2343.0,56.0,133.0,0.0,133.0,2383.0,40.0,85.0,0.0,85.0,2428.0,45.0,100.0,0.0,100.0,2469.0,41.0,88.0,0.0,88.0,2537.0,68.0,169.0,0.0,169.0,2664.0,127.0,346.0,0.0,346.0,2696.0,32.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000049-01-2021,2021,50.0,114.0,3.0,25.0,0.0,25.0,115.0,1.0,25.0,0.0,25.0,117.0,2.0,25.0,0.0,25.0,122.0,5.0,25.0,0.0,25.0,130.0,8.0,25.0,0.0,25.0,137.0,7.0,25.0,0.0,25.0,155.0,18.0,25.0,0.0,25.0,162.0,7.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000050-01-2021,2021,100.0,14834.0,152.0,421.0,0.0,421.0,14968.0,134.0,367.0,0.0,367.0,15199.0,231.0,658.0,0.0,658.0,15234.0,35.0,70.0,0.0,70.0,15360.0,126.0,343.0,0.0,343.0,15479.0,119.0,322.0,0.0,322.0,15594.0,115.0,310.0,0.0,310.0,15639.0,45.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
